net,length_um
_13270_,896.52
_10772_,889.13
_13264_,883.01
_10751_,855.67
_13257_,820.26
_00005_,775.28
_13299_,747.12
_09323_,740.16
_09434_,721.05
_13247_,719.22
_07822_,718.42
_10918_,692.655
net4,692.59
_10794_,675.885
_00004_,671.03
_10790_,661.35
_10731_,660.13
_10875_,651.86
_09439_,645.27
_09424_,644.215
_09301_,638.235
_10863_,631.975
_10978_,628.74
_05302_,628.43
_11568_,617.59
_10868_,616.04
_10870_,614.275
clknet_5_17__leaf_clk,612.49
_09400_,610.55
_12905_,604.93
_13252_,600.64
_09336_,599.115
_10947_,597.17
_09407_,595.85
_10878_,594.58
clknet_5_8__leaf_clk,593.29
clknet_5_6__leaf_clk,590.36
_12904_,589.06
_09404_,587.18
_10117_,584.98
_10115_,582.82
_09422_,581.29
_10756_,580.07
_09428_,579.62
_09437_,579.06
clknet_5_24__leaf_clk,577.375
_11539_,570.62
net1,569.77
_05942_,563.12
clknet_0_clk,560.91
_06019_,559.97
_12879_,558.81
_13431_,556.95
_04787_,554.74
_13241_,552.44
_13377_,551.455
_11517_,551.28
_07261_,549.39
_07081_,544.6
_05961_,543.02
_13304_,541.96
_10033_,541.49
_10204_,540.935
_10108_,540.67
_10798_,539.56
_10109_,538.29
_08045_,536.94
_04799_,536.46
_09425_,535.66
_11515_,534.5
_13381_,533.725
_04798_,533.62
_07805_,533.12
_11521_,533.09
clknet_5_12__leaf_clk,532.96
_13251_,532.63
clknet_5_27__leaf_clk,531.46
_11527_,530.25
_12869_,527.005
_12895_,526.98
_12794_,525.68
_13434_,524.06
clknet_5_18__leaf_clk,523.79
_12430_,522.695
_13303_,522.555
_11543_,520.205
_08054_,519.52
_09983_,515.23
_10202_,512.57
_10825_,512.27
clk,511.46
_10788_,511.255
_09396_,510
clknet_5_10__leaf_clk,508.2
_09464_,508.13
clknet_5_5__leaf_clk,507.92
_10743_,506.52
_08039_,506.43
_13293_,505.7
_12785_,502.54
_09391_,502.48
_09430_,501.95
_07789_,501.52
_07260_,500.4
_09461_,499.91
_09330_,497.25
_13598_,497.22
_13320_,490.99
clknet_5_14__leaf_clk,489.71
_12982_,489.45
_11512_,488.64
_07270_,487.83
_10755_,487.66
_00008_,487.64
_12780_,486.2
_10799_,485.705
_10597_,485.36
_09663_,484.96
_11537_,484.62
clknet_5_28__leaf_clk,483.36
_09476_,483.22
_11519_,481.86
clknet_5_9__leaf_clk,481.18
_07218_,481.03
_07208_,480.49
_12764_,478.82
_09312_,477.5
